comunidad,longitude,latitude
Andalucía,-4.57619759928521,37.4681178570892
Aragón,-0.665188363252903,41.5139247146545
Principado de Asturias,-5.99327675127265,43.2937220828477
Islas Baleares,2.90480293180095,39.5736869066881
Canarias,-15.6703443955745,28.3501719765776
Cantabria,-4.03212552496074,43.1971511768274
Castilla y León,-4.78484344919995,41.7521468123472
Castilla-La Mancha,-3.00638893532113,39.577577660364
Cataluña,1.5243542306751,41.797427299488
Comunidad Valenciana,-0.557814181118517,39.3950044279987
Extremadura,-6.15132249142922,39.1877394661092
Galicia,-7.91087207569347,42.7547472692852
Comunidad de Madrid,-3.71679674194616,40.494566396543
Región de Murcia,-1.48537547094598,38.0012558520825
Navarra,-1.64778049397349,42.6666457550456
País Vasco,-2.61690349909685,43.0432512002306
La Rioja,-2.5164092074648,42.2752992031491
Melilla,-2.9475,35.2825
Ceuta,-5.315556,35.888333
