herramienta,count
ingles,8665
sql,3318
microsoft 365,5797
java,3005
python,2994
framework,2569
git,2512
base de datos,2341
c++,2261
javascript,2214
amazon ws,2048
azure,1868
apirest,1623
ia,1485
docker,1365
html,1345
css,1290
kubernetes,1259
angular,1259
scrum,1213
react,1198
excel,1000
machine learning,998
solid,978
bi,965
big data,934
jira,873
nodejs,793
ux,780
google cloud,762
mysql,762
typescript,762
php,697
microsoft powerbi,611
mongo,577
postgresql,566
terraform,553
nosql,541
ui,529
kafka,510
crm,482
iot,478
vuejs,471
apache,459
etl,415
spark,411
microsoft exchange,394
soap,383
powerpoint,338
kanban,335
directorio activo,325
salesforce,323
xml,320
maven,317
restful,308
springboot,286
confluence,281
junit,276
lean,273
nlp,272
shell,272
kotlin,267
scala,265
microsoft forms,258
catalan,256
grafana,256
pl/sql,250
tableau,250
bootstrap,249
openshift,245
visual studio,239
elasticsearch,237
selenium,237
azure databricks,233
aleman,230
aspnet,217
scada,211
matlab,209
redhat enterprise,204
ux/ui,201
sharepoint,192
tensorflow,188
adobe,187
ruby,179
ddd,179
redux,178
jpa,176
symfony,174
laravel,165
pytorch,164
snowflake,164
django,162
abap,157
db2,157
query,154
pyspark,152
fortinet,150
servicenow,147
sonarqube,147
eclipse,145
postman,140
pandas,137
qlik sense,137
sass,135
angularjs,132
hana,131
jboss,128
swagger,128
hadoop,127
cms,122
sas,120
unified modeling language,117
puppet,112
cobol,110
kibana,109
splunk,104
Big Query,103
flask,92
simulink,90
citrix,90
remedy,88
unity,87
euskera,82
mvvm,79
dba,78
next js,78
vba,78
microsoft sccm,78
numpy,77
weblogic,76
oauth,76
flutter,76
juniper,75
nagios,75
mariadb,74
jmeter,74
ubuntu,73
fpga,73
jsf,66
zabbix,65
dbt,64
fastapi,64
groovy,64
dynatrace,63
ldap,62
drupal,62
llm,62
rails,57
vsphere,56
ssis,54
uipath,53
appium,53
s4,53
dax,52
jee,51
intune,49
liferay,48
vbnet,48
google firebase,48
jcl,44
soapui,43
magento,41
hl7,39
vb,38
cordova,37
cpd,37
crystal,37
delphi,37
appian,33
apigee,33
amazon grc,33
yaml,30
ssas,29
pentaho,29
lamp,28
tibco,27
hyper v,26
genesys,25
jasper,22
moodle,22
netcore,20
programacion funcional,19
dataguard,17
zos,17
puppeteer,16
oracle rman,14
power shell,8
nltk,7
beautifulsoup,4
