salario_medio,herramienta,valor_booleano
35000.0,07 - sql,1
49500.0,07 - sql,1
42500.0,07 - sql,1
40000.0,07 - sql,1
27500.0,07 - sql,1
31000.0,07 - sql,1
57500.0,07 - sql,1
39500.0,07 - sql,1
47500.0,07 - sql,1
50000.0,07 - sql,1
38500.0,07 - sql,1
49000.0,07 - sql,1
45000.0,07 - sql,1
55000.0,07 - sql,1
49500.0,07 - sql,1
51000.0,07 - sql,1
30000.0,07 - sql,1
36000.0,07 - sql,1
30000.0,07 - sql,1
33000.0,07 - sql,1
49500.0,07 - sql,1
42000.0,07 - sql,1
37500.0,07 - sql,1
42000.0,07 - sql,1
24000.0,07 - sql,1
33000.0,07 - sql,1
37500.0,07 - sql,1
37500.0,07 - sql,1
46500.0,07 - sql,1
34500.0,07 - sql,1
34500.0,07 - sql,1
51000.0,07 - sql,1
34500.0,07 - sql,1
49500.0,07 - sql,1
40500.0,07 - sql,1
49500.0,07 - sql,1
37500.0,07 - sql,1
46500.0,07 - sql,1
28500.0,07 - sql,1
49500.0,07 - sql,1
52500.0,07 - sql,1
39000.0,07 - sql,1
18500.0,07 - sql,1
54000.0,07 - sql,1
31500.0,07 - sql,1
49500.0,07 - sql,1
52500.0,07 - sql,1
25500.0,07 - sql,1
36000.0,07 - sql,1
43500.0,07 - sql,1
45000.0,07 - sql,1
36000.0,07 - sql,1
43500.0,07 - sql,1
49500.0,07 - sql,1
36000.0,07 - sql,1
52500.0,07 - sql,1
21000.0,07 - sql,1
46500.0,07 - sql,1
34500.0,07 - sql,1
42000.0,07 - sql,1
54000.0,07 - sql,1
39000.0,07 - sql,1
37500.0,07 - sql,1
31500.0,07 - sql,1
49500.0,07 - sql,1
54000.0,07 - sql,1
36000.0,07 - sql,1
60000.0,07 - sql,1
25500.0,07 - sql,1
42000.0,07 - sql,1
30000.0,07 - sql,1
46500.0,07 - sql,1
25500.0,07 - sql,1
36000.0,07 - sql,1
36000.0,07 - sql,1
51000.0,07 - sql,1
28500.0,07 - sql,1
46500.0,07 - sql,1
49500.0,07 - sql,1
27000.0,07 - sql,1
39000.0,07 - sql,1
34500.0,07 - sql,1
43500.0,07 - sql,1
33000.0,07 - sql,1
52500.0,07 - sql,1
39000.0,07 - sql,1
46500.0,07 - sql,1
28500.0,07 - sql,1
34500.0,07 - sql,1
31500.0,07 - sql,1
52500.0,07 - sql,1
52500.0,07 - sql,1
34500.0,07 - sql,1
63000.0,07 - sql,1
58500.0,07 - sql,1
36000.0,07 - sql,1
33000.0,07 - sql,1
37500.0,07 - sql,1
36000.0,07 - sql,1
39000.0,07 - sql,1
28500.0,07 - sql,1
17000.0,07 - sql,1
36000.0,07 - sql,1
37500.0,07 - sql,1
40500.0,07 - sql,1
34500.0,07 - sql,1
54000.0,07 - sql,1
46500.0,07 - sql,1
36000.0,07 - sql,1
31500.0,07 - sql,1
36000.0,07 - sql,1
33000.0,07 - sql,1
36000.0,07 - sql,1
31500.0,07 - sql,1
46500.0,07 - sql,1
34500.0,07 - sql,1
19500.0,07 - sql,1
24000.0,07 - sql,1
22500.0,07 - sql,1
31500.0,07 - sql,1
39000.0,07 - sql,1
34500.0,07 - sql,1
27000.0,07 - sql,1
33000.0,07 - sql,1
25500.0,07 - sql,1
34500.0,07 - sql,1
33000.0,07 - sql,1
36000.0,07 - sql,1
30000.0,07 - sql,1
36000.0,07 - sql,1
42000.0,07 - sql,1
33000.0,07 - sql,1
30000.0,07 - sql,1
30000.0,07 - sql,1
30000.0,07 - sql,1
37500.0,07 - sql,1
21000.0,07 - sql,1
34500.0,07 - sql,1
34500.0,07 - sql,1
27000.0,07 - sql,1
28500.0,07 - sql,1
37500.0,07 - sql,1
42000.0,07 - sql,1
36000.0,07 - sql,1
37500.0,07 - sql,1
31500.0,07 - sql,1
42000.0,07 - sql,1
39000.0,07 - sql,1
36000.0,07 - sql,1
51000.0,07 - sql,1
28500.0,07 - sql,1
45500.0,07 - sql,1
36000.0,07 - sql,1
39000.0,07 - sql,1
30000.0,07 - sql,1
25500.0,07 - sql,1
40500.0,07 - sql,1
33000.0,07 - sql,1
36000.0,07 - sql,1
39000.0,07 - sql,1
42000.0,07 - sql,1
49500.0,07 - sql,1
49500.0,07 - sql,1
39000.0,07 - sql,1
34500.0,07 - sql,1
31500.0,07 - sql,1
42000.0,07 - sql,1
27000.0,07 - sql,1
37500.0,07 - sql,1
58500.0,07 - sql,1
