comunidad,salario_min,salario_max,salario_medio
Cantabria,36000.0,45000.0,40500.0
Principado de Asturias,37333.333333333336,42000.0,39700.0
Cataluña,31943.18181818182,39901.6337115073,35900.0
Comunidad de Madrid,31837.815340909092,38926.94627709708,35400.0
País Vasco,30932.432432432433,37256.75675675676,34100.0
Navarra,29030.76923076923,37292.307692307695,33200.0
Aragón,28160.869565217392,35695.65217391304,31900.0
Comunidad Valenciana,27332.097222222223,34461.578571428574,30900.0
Andalucía,27497.099337748343,34176.72368421053,30800.0
Islas Baleares,25900.0,34388.88888888889,30100.0
Castilla y León,26573.170731707316,31857.5,29200.0
Galicia,25205.714285714286,33203.07692307692,29200.0
Región de Murcia,22565.217391304348,29227.272727272728,25900.0
La Rioja,22333.333333333332,27666.666666666668,25000.0
Extremadura,21666.666666666668,26375.0,24000.0
Castilla-La Mancha,20589.473684210527,25833.333333333332,23200.0
Canarias,20720.833333333332,24629.166666666668,22700.0
Melilla,12000.0,18000.0,15000.0
Ceuta,,,
