herramienta,Administracion,Ciberseguridad,Data Driven,ML engineer,Programador,Sistemas
Big Query,0.0,0.0,63.0,5.0,8.0,7.0
abap,2.0,0.0,13.0,0.0,86.0,1.0
adobe,8.0,0.0,11.0,0.0,67.0,11.0
aleman,10.0,4.0,18.0,0.0,61.0,29.0
amazon grc,3.0,1.0,8.0,0.0,3.0,2.0
amazon ws,73.0,10.0,533.0,24.0,721.0,260.0
angular,38.0,2.0,35.0,1.0,1036.0,21.0
angularjs,2.0,0.0,3.0,0.0,117.0,0.0
apache,11.0,0.0,146.0,1.0,177.0,50.0
apigee,0.0,0.0,8.0,0.0,12.0,0.0
apirest,81.0,1.0,118.0,3.0,1095.0,42.0
appian,1.0,0.0,3.0,0.0,6.0,2.0
appium,27.0,0.0,3.0,0.0,14.0,1.0
aspnet,2.0,0.0,5.0,0.0,195.0,0.0
azure,84.0,14.0,493.0,15.0,565.0,291.0
azure databricks,3.0,1.0,165.0,4.0,26.0,3.0
base de datos,87.0,4.0,420.0,3.0,1101.0,213.0
beautifulsoup,0.0,0.0,0.0,0.0,3.0,0.0
bi,54.0,1.0,363.0,5.0,239.0,45.0
big data,40.0,12.0,352.0,12.0,206.0,61.0
bootstrap,8.0,0.0,4.0,0.0,208.0,3.0
c++,78.0,8.0,98.0,10.0,1322.0,146.0
catalan,23.0,1.0,20.0,2.0,31.0,38.0
citrix,2.0,0.0,6.0,0.0,2.0,41.0
cms,10.0,0.0,9.0,0.0,72.0,3.0
cobol,2.0,0.0,19.0,0.0,71.0,3.0
confluence,34.0,0.0,47.0,0.0,113.0,14.0
cordova,0.0,0.0,1.0,0.0,31.0,0.0
cpd,2.0,0.0,1.0,0.0,0.0,10.0
crm,55.0,0.0,69.0,0.0,126.0,31.0
crystal,1.0,0.0,1.0,0.0,25.0,4.0
css,21.0,1.0,24.0,1.0,1062.0,12.0
dataguard,0.0,0.0,10.0,0.0,0.0,0.0
dax,0.0,0.0,22.0,0.0,11.0,1.0
db2,6.0,0.0,47.0,0.0,71.0,5.0
dba,3.0,0.0,54.0,0.0,5.0,6.0
dbt,3.0,0.0,49.0,0.0,2.0,0.0
ddd,7.0,0.0,5.0,0.0,134.0,1.0
delphi,1.0,0.0,0.0,0.0,35.0,0.0
